comment,sentiment_score
上海堡垒虽然让大家有点失望但是我感觉还是很不错的，敢于尝试和挑战了，有过错可以改,0.964034292
我去看了，感觉挺好看的啊,0.892465816
期待,0.688963211
导演不行，编剧不行，特效不行，啥都不行,0.016462689
自闭中,0.693155628
终于有甜文，哭了,0.93576892
江洋!!!暴风期待上海堡垒!!,0.067456761
期待上海堡垒，期待江洋哥哥,0.989394608
舆论太可怕了，导演加油勇于去挑战的人无论最后的结果怎样都值得被尊敬,0.995363861
千万别去贡献票房，这样才是支持中国科幻，资本流量躺着赚钱的日子过去了,0.990980523
哇，快来吧,0.716483516
光这演员我都不想看，鹿晗舒淇适合演科幻吗？尬的一匹,0.98932847
非常好看。效果很震撼。,0.962856209
看了我不敢说话了,0.219926264
全篇在这里！昨天发的那个有修改！,0.383431126
看个我鹿的军装就这么难吗,0.460602114
上海堡垒定档,0.380780311
这不是鹿晗ID吧鹿晗以前说过自己ID的....,0.00123769
我看了，真的就有烂到评分这么惨哦，大家可以去看看图个开心,0.822495877
八点见！！,0.285655598
不仅仅是剧情差，还有逻辑差。小说里的捕食者可是生物，这里是红警的恐怖机器人，特效也简化了。,0.251106129
大卖！！,0.333269428
我15096我都不敢说话了,0.179566603
真的暴风哭泣，我的江洋啊,0.840739256
0809上海堡垒约起来,0.345621887
粉丝能不能滚呀恶心死了,0.040127942
烂了就是烂了原著党一句真心话说科幻就是为了圈爱国钱卖情怀就是坑原著党还有主演就是为了圈粉丝钱,0.840327167
看到自己半个手臂,0.487598289
八点见呀,0.5
前期蹭流浪地球热度，结果根本比不上，然后就很容易让人反感，要求就更高了,0.999717055
互评吗姐妹,0.186491537
你已经很瘦了好吗,0.976404262
我我我马上去！,0.528639481
超级期待！！！！！,0.168018134
评论清一色感觉电影还不错什么演员也很难过，这跟他打游戏有关系吗……,0.999930416
感觉特效部分还是可以的～没有什么尴尬的地方支持国产电影,0.828618632
我的视频,0.52173913
鹿哥加油,0.895319167
终于等到,0.587030717
非常期待堡贝了,0.856828473
打游戏就打游戏电影烂怪导演编剧又不是演员的锅的游戏也要管佛了,0.969129945
主演长得好看，剧情不评价,0.81398646
那个所谓小鲜肉能有票房？有的不也就是跟着混,0.328789281
互评来也,0.310416094
我16085脸挺胖的,0.426610469
今天也看到了，超级期待啊,0.616502549
期待和我们一样平凡不畏的江洋,0.986548974
鹿晗的演技还是有待提高了啊这次的电影的确不如人意啊希望可以认识到演技态度这个问题,0.791018556
当抱着很烂的心态去的时候，会发现其实没有那么烂，演员基本没毛病，在于剧本吧，代入感没有那么强，特效还行,0.99602284
时代不同了，流量不行了，,0.310419399
真好!,0.659726198
我167.596,0.5
我也为贴片而来,0.818231343
朋友们8.9看起来，大堡垒值得拥有,0.905027833
哥哥一定很难受！我也好难受！真的没有不好看！哥哥你不要自责啊,0.992704328
粉丝不行啊，怎么还没给过亿,0.462859396
好的,0.655862821
觉得这部电影很不错啊，特效很好啊,0.996608534
回评了呀,0.5
你们是来拉仇恨的么,0.843837769
暑假见,0.724985483
坐等~期待~,0.66602234
我不是鹿晗粉丝，甚至有点讨厌，但是戏拍完了打游戏咋的了？电影扑了需要回去加班吗？,0.947290748
流浪地球打开的中国科幻电影的没有没上海堡垒关上了,0.997720422
期待期待,0.815405768
其实只要把某人的铁粉票价提到一千估计就能上两亿了,0.263761099
票房大麦,0.771577705
你们是来拉仇恨的吗,0.900029962
值得等待,0.693942458
.....,0.361111111
纯路人。看了十五分钟特别想快进。然后又心疼票钱不愿意提前走。就一直玩手机。到快结尾的时候看了一眼。被一句“向我开炮”直接笑喷,0.386221262
谢谢你,0.596566524
我被酸了,0.5
这种特效居然叫科幻片,0.51490114
上海堡垒大卖！,0.458846598
这个贴片很有必要，虽然引得黑提前行动，但更多的是路人受到了最直观的影响,0.992648665
……所以呢？因为一部电影还要切腹自尽才算是给吃瓜群众交代了？电影好不好看这件事见仁见智，但是过分挖掘人家的生活然后无限放大的人有意思么？电影好坏我没看，不评价，但是请不要过分无耻,0.999823417
电影真心不错,0.978732998
高三岁很皮,0.896788174
胡老板，这里呀,0.089314581
上面三个选项我都想选怎么办,0.197792496
加油加油，致敬国产科幻大片,0.999351644
你们今天都去看电影了,0.8454943
钱都进口袋了人家害怕啥,0.215932695
真的巨难看。战争类型吧说不上，跟打飞机手游一样。爱情吧说不上，还没有表白女主就死了，真是莫名其妙。,0.906297817
有你真好,0.659726198
全方位的不行,0.347225722
加油加油！,0.987842248
也是看流浪地球，看到这个时叫了一声,0.993424856
精雕细琢的大堡垒，期待上映,0.623206318
虽然是跟大家想象的有些偏差，但是我觉得这部电影也不是特别的差,0.415794353
暖心！,0.879832455
不行就是不行,0.101639759
我也要去看哈哈哈哈,0.889279163
期待我大堡垒，期待鹿晗,0.767353772
鹿晗真的总是演烂片,0.47142816
嘻嘻八点见,0.5
导演不行，属于导二代那种没有阅历的！只有步骤……,0.959104655
我以为出新的了,0.5
这部电影没有大家说的那么烂啊，鹿晗演技还是可以的，支持他们！,0.803113917
